n = 10:
Trial 12: 11, 12, 12, 9, 9, 13, 10, 12, 11, 11, 12, 11, 11, 10, 10
Trial 13: 9, 10, 10, 13, 12, 10, 11, 9, 10, 9, 13, 12, 11, 12, 11
Trial 14: 10, 11, 12, 11, 11, 11, 10, 11, 10, 13, 12, 9, 14, 9, 14
Trial 15: 16, 15, 16, 12, 12, 12, 13, 15, 14, 13, 10, 16, 13, 14, 12
Trial 16: 14, 12, 8, 12, 12, 14, 14, 11, 13, 14, 11, 12, 13, 10, 11
Trial 17: 11, 13, 13, 12, 12, 12, 10, 16, 16, 11, 11, 13, 13, 12, 13
Trial 18: 11, 13, 9, 10, 14, 13, 11, 13, 12, 12, 13, 13, 13, 13, 14
Trial 19: 16, 12, 16, 11, 11, 11, 16, 15, 13, 13, 16, 10, 13, 9, 13
Trial 20: 12, 11, 10, 10, 12, 9, 9, 12, 12, 10, 15, 15, 11, 9, 13
n = 50:
Trial 1: 14, 15, 9, 14, 12, 14, 12, 12, 9, 11, 15, 13, 15, 10, 12
Trial 2: 13, 16, 14, 16, 11, 14, 14, 14, 14, 17, 10, 13, 13, 12, 16
Trial 3: 17, 12, 15, 17, 18, 14, 11, 10, 11, 11, 12, 19, 12, 12, 12
Trial 4: 13, 17, 17, 20, 13, 17, 16, 17, 15, 11, 15, 12, 18, 20, 19
Trial 5: 12, 19, 14, 13, 11, 18, 14, 11, 14, 14, 15, 15, 13, 14, 14
Trial 6: 12, 16, 18, 16, 15, 11, 17, 16, 13, 15, 16, 17, 15, 10, 15
Trial 7: 11, 15, 12, 10, 11, 11, 10, 15, 16, 16, 11, 13, 15, 10, 10
Trial 8: 11, 11, 11, 14, 11, 12, 10, 14, 11, 14, 13, 13, 13, 11, 12
Trial 9: 10, 11, 11, 13, 13, 16, 13, 15, 14, 15, 10, 13, 15, 13, 15
Trial 10: 16, 13, 13, 9, 13, 12, 12, 13, 11, 14, 12, 15, 14, 13, 12
Trial 11: 10, 16, 14, 12, 16, 14, 14, 17, 11, 15, 16, 16, 14, 16, 15
Trial 12: 13, 13, 12, 10, 12, 10, 9, 12, 12, 14, 12, 9, 9, 13, 10
Trial 13: 18, 17, 15, 18, 15, 12, 12, 16, 13, 17, 15, 17, 12, 12, 16
Trial 14: 11, 11, 12, 16, 13, 11, 14, 12, 13, 13, 10, 11, 15, 12, 15
Trial 15: 11, 11, 11, 10, 10, 12, 10, 10, 12, 11, 12, 13, 11, 10, 11
Trial 16: 14, 12, 17, 16, 14, 15, 20, 15, 17, 17, 15, 16, 13, 19, 14
Trial 17: 14, 16, 17, 14, 15, 18, 13, 13, 15, 13, 11, 14, 12, 13, 12
Trial 18: 10, 14, 14, 13, 16, 12, 13, 12, 13, 11, 12, 15, 13, 13, 12
Trial 19: 13, 12, 13, 13, 13, 12, 10, 10, 12, 13, 13, 14, 12, 13, 11
Trial 20: 13, 14, 12, 15, 15, 15, 11, 12, 12, 12, 14, 14, 14, 10, 15
n = 60:
